instance,variant,kappa1,rows,basic_structural,basic_slack,singular,mip_obj,mip_gap,note
instance045.txt,Ruiz,780623582429.8934,10080,3960,6120,0,-817071.6585537427,0.0009983510802256072,
instance046.txt,Base,498943756614.33795,10080,3966,6114,0,-695780.305957771,0.16502671450996495,
instance046.txt,SA-Aug,282657238323.0999,10080,3966,6114,0,-695780.305957771,0.16502671450996495,
instance046.txt,Flat-Aug,12717893783.681984,10080,3966,6114,0,-695780.305957771,0.16502671450996495,
instance046.txt,SA-Mat,282657287230.2109,10080,3966,6114,0,-695780.305957771,0.16502671450996495,
instance046.txt,Flat-Mat,6056719523.033253,10080,3966,6114,0,-695780.305957771,0.16502671450996495,
instance046.txt,Ruiz,2459250017209.756,10080,3966,6114,0,-695780.305957771,0.16502671450996495,
instance047.txt,Base,448849927578.4517,10080,3960,6120,0,-860178.8600263125,0.0007141988352215079,
instance047.txt,SA-Aug,259949952874.2165,10080,3960,6120,0,-860178.8600263125,0.0007141988352215079,
instance047.txt,Flat-Aug,8391388620.802557,10080,3960,6120,0,-860178.8600263125,0.0007141988352215079,
instance047.txt,SA-Mat,259949995728.3823,10080,3960,6120,0,-860178.8600263125,0.0007141988352215079,
instance047.txt,Flat-Mat,5570152567.332164,10080,3960,6120,0,-860178.8600263125,0.0007141988352215079,
instance047.txt,Ruiz,815143993141.5321,10080,3960,6120,0,-860178.8600263125,0.0007141988352215079,
instance048.txt,Base,456275479337.5917,10080,3960,6120,0,-1298795.7041167058,0.0,
instance048.txt,SA-Aug,254082531011.80667,10080,3960,6120,0,-1298795.7041167058,0.0,
instance048.txt,Flat-Aug,15649328097.28083,10080,3960,6120,0,-1298795.7041167058,0.0,
instance048.txt,SA-Mat,254082572898.68335,10080,3960,6120,0,-1298795.7041167058,0.0,
instance048.txt,Flat-Mat,5444426693.604432,10080,3960,6120,0,-1298795.7041167058,0.0,
instance048.txt,Ruiz,839144088482.0521,10080,3960,6120,0,-1298795.7041167058,0.0,
instance049.txt,Base,948999843656.6072,10080,3972,6108,0,41244540.443322465,0.6885159600044665,
instance049.txt,SA-Aug,1233900045512.1743,10080,3972,6108,0,41244540.443322465,0.6885159600044665,
instance049.txt,Flat-Aug,10600634056.560978,10080,3972,6108,0,41244540.443322465,0.6885159600044665,
instance049.txt,SA-Mat,199361905847.72052,10080,3972,6108,0,41244540.443322465,0.6885159600044665,
instance049.txt,Flat-Mat,4271884015.9021688,10080,3972,6108,0,41244540.443322465,0.6885159600044665,
instance049.txt,Ruiz,1661240082906.9253,10080,3972,6108,0,41244540.443322465,0.6885159600044665,
instance050.txt,Base,573864783314.631,10080,3945,6135,0,130504034.32298161,0.0,
instance050.txt,SA-Aug,743059119696.0361,10080,3945,6135,0,130504034.32298161,0.0,
instance050.txt,Flat-Aug,4160043899.6360497,10080,3945,6135,0,130504034.32298161,0.0,
instance050.txt,SA-Mat,105587974889.0085,10080,3945,6135,0,130504034.32298161,0.0,
instance050.txt,Flat-Mat,2254662045.1084995,10080,3945,6135,0,130504034.32298161,0.0,
instance050.txt,Ruiz,970424399995.45,10080,3945,6135,0,130504034.32298161,0.0,
instance051.txt,Base,462456786004.6053,10080,3953,6127,0,85798713.68182625,0.00027549810649194986,
instance051.txt,SA-Aug,460532499686.15375,10080,3953,6127,0,85798713.68182625,0.00027549810649194986,
instance051.txt,Flat-Aug,6555938552.82313,10080,3953,6127,0,85798713.68182625,0.00027549810649194986,
instance051.txt,SA-Mat,96059835994.11876,10080,3953,6127,0,85798713.68182625,0.00027549810649194986,
instance051.txt,Flat-Mat,2053189886.051159,10080,3953,6127,0,85798713.68182625,0.00027549810649194986,
instance051.txt,Ruiz,967453580588.2217,10080,3953,6127,0,85798713.68182625,0.00027549810649194986,
instance052.txt,Base,1734211843668.429,10080,3936,6144,0,1753458.7073743083,0.000866773250923791,
instance052.txt,SA-Aug,846386997130.8174,10080,3936,6144,0,1753458.7073743083,0.000866773250923791,
instance052.txt,Flat-Aug,15560967596.159513,10080,3936,6144,0,1753458.7073743083,0.000866773250923791,
instance052.txt,SA-Mat,285302592354.2047,10080,3936,6144,0,1753458.7073743083,0.000866773250923791,
instance052.txt,Flat-Mat,6113402551.961583,10080,3936,6144,0,1753458.7073743083,0.000866773250923791,
instance052.txt,Ruiz,784420414772.2035,10080,3936,6144,0,1753458.7073743083,0.000866773250923791,
instance053.txt,Base,325800348463.98676,10080,3946,6134,0,20205449.802437752,0.2147095048244211,
instance053.txt,SA-Aug,211992957071.83612,10080,3946,6134,0,20205449.802437752,0.2147095048244211,
instance053.txt,Flat-Aug,1514263379.8185806,10080,3946,6134,0,20205449.802437752,0.2147095048244211,
instance053.txt,SA-Mat,164730721339.86258,10080,3946,6134,0,20205449.802437752,0.2147095048244211,
instance053.txt,Flat-Mat,3526200546.544409,10080,3946,6134,0,20205449.802437752,0.2147095048244211,
instance053.txt,Ruiz,575324131460.4492,10080,3946,6134,0,20205449.802437752,0.2147095048244211,
instance057.txt,Base,269951866515.61023,10080,3939,6141,0,-21924351.04379136,0.00018398357772121297,
instance057.txt,SA-Aug,259543348383.11243,10080,3939,6141,0,-21924351.04379136,0.00018398357772121297,
instance057.txt,Flat-Aug,5987057389.374804,10080,3939,6141,0,-21924351.04379136,0.00018398357772121297,
instance057.txt,SA-Mat,197589974361.88986,10080,3939,6141,0,-21924351.04379136,0.00018398357772121297,
instance057.txt,Flat-Mat,4230970167.6590195,10080,3939,6141,0,-21924351.04379136,0.00018398357772121297,
instance057.txt,Ruiz,1634859866470.8508,10080,3939,6141,0,-21924351.04379136,0.00018398357772121297,
instance058.txt,Base,1387369531907.5098,10080,3903,6177,0,56428277.61677331,0.4603641402237692,
instance058.txt,SA-Aug,1330219272748.641,10080,3903,6177,0,56428277.61677331,0.4603641402237692,
instance058.txt,Flat-Aug,19406721786.327454,10080,3903,6177,0,56428277.61677331,0.4603641402237692,
instance058.txt,SA-Mat,306006073038.0806,10080,3903,6177,0,56428277.61677331,0.4603641402237692,
instance058.txt,Flat-Mat,6557032280.674874,10080,3903,6177,0,56428277.61677331,0.4603641402237692,
instance058.txt,Ruiz,2132122057588.8796,10080,3903,6177,0,56428277.61677331,0.4603641402237692,
instance059.txt,Base,342992458345.08276,10080,3860,6220,0,35169677.21919154,5.248582263231138e-05,
