class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso09c.txt,Matrix-only,20,20,0.049790,0.008271,0.041519,0.049367,0.008060,0.0069,0.0138,0.0047,0.0233,0.039878,0.000194,0.004246,0.004075,0.005636,0.003931,0.009870,0.008010
Simple,caso09d.txt,Augmented,20,20,0.048779,0.008327,0.040453,0.048339,0.008123,0.4081,0.0203,0.0061,0.0117,0.039932,0.000193,0.004319,0.004158,0.004415,0.003935,0.008734,0.008076
Simple,caso09d.txt,Matrix-only,20,20,0.050158,0.008300,0.041858,0.049739,0.008141,0.0158,0.0170,0.0103,0.0198,0.040100,0.000193,0.004327,0.004107,0.005659,0.003941,0.009977,0.008043
Simple,caso09e.txt,Augmented,20,20,0.048794,0.008351,0.040443,0.048524,0.008167,0.0068,0.0089,0.0086,0.0105,0.039977,0.000193,0.004363,0.004165,0.004384,0.003929,0.008762,0.008101
Simple,caso09e.txt,Matrix-only,20,20,0.050079,0.008315,0.041764,0.049756,0.008095,0.0130,0.0163,0.0121,0.0273,0.039980,0.000193,0.004293,0.004131,0.005651,0.003919,0.009948,0.008061
Simple,caso09f.txt,Augmented,20,20,0.048986,0.008329,0.040657,0.048408,0.008149,0.0111,0.0149,0.0147,0.0127,0.040111,0.000193,0.004351,0.004141,0.004406,0.003928,0.008768,0.008082
Simple,caso09f.txt,Matrix-only,20,20,0.049867,0.008329,0.041537,0.049591,0.008141,0.0206,0.0229,0.0198,0.0211,0.039884,0.000193,0.004251,0.004152,0.005633,0.003933,0.009891,0.008074
Simple,caso10a.txt,Augmented,20,20,0.048669,0.008348,0.040321,0.048234,0.008166,0.0099,0.0174,0.0108,0.0140,0.039867,0.000192,0.004342,0.004148,0.004400,0.003947,0.008748,0.008098
Simple,caso10a.txt,Matrix-only,20,20,0.050043,0.008423,0.041620,0.049561,0.008132,0.0214,0.0878,0.0202,0.0234,0.040007,0.000193,0.004313,0.004219,0.005625,0.003943,0.009931,0.008176
Simple,caso10b.txt,Augmented,20,20,0.048752,0.008371,0.040381,0.048218,0.008197,0.0060,0.0312,0.0049,0.0188,0.039795,0.000193,0.004384,0.004175,0.004407,0.003932,0.008792,0.008123
