class,instance,kernel,policy,result,bytes
Simple,caso14a.txt,Augmented,selective,identical,1787108
Simple,caso14a.txt,Augmented,role-blind,identical,1797945
Simple,caso14a.txt,Matrix-only,selective,identical,1735657
Simple,caso14a.txt,Matrix-only,role-blind,identical,1735657
Simple,caso14b.txt,Augmented,selective,identical,1787108
Simple,caso14b.txt,Augmented,role-blind,identical,1797945
Simple,caso14b.txt,Matrix-only,selective,identical,1735657
Simple,caso14b.txt,Matrix-only,role-blind,identical,1735657
Simple,caso14c.txt,Augmented,selective,identical,1787105
Simple,caso14c.txt,Augmented,role-blind,identical,1797942
Simple,caso14c.txt,Matrix-only,selective,identical,1735654
Simple,caso14c.txt,Matrix-only,role-blind,identical,1735654
Simple,caso14d.txt,Augmented,selective,identical,1787173
Simple,caso14d.txt,Augmented,role-blind,identical,1797999
Simple,caso14d.txt,Matrix-only,selective,identical,1735722
Simple,caso14d.txt,Matrix-only,role-blind,identical,1735722
Simple,caso14e.txt,Augmented,selective,identical,1787173
Simple,caso14e.txt,Augmented,role-blind,identical,1797999
Simple,caso14e.txt,Matrix-only,selective,identical,1735722
Simple,caso14e.txt,Matrix-only,role-blind,identical,1735722
Simple,caso14f.txt,Augmented,selective,identical,1787170
Simple,caso14f.txt,Augmented,role-blind,identical,1797996
Simple,caso14f.txt,Matrix-only,selective,identical,1735719
Simple,caso14f.txt,Matrix-only,role-blind,identical,1735719
Simple,caso19a.txt,Augmented,selective,identical,1785448
Simple,caso19a.txt,Augmented,role-blind,identical,1796252
Simple,caso19a.txt,Matrix-only,selective,identical,1733722
Simple,caso19a.txt,Matrix-only,role-blind,identical,1733722
Simple,caso19b.txt,Augmented,selective,identical,1785445
Simple,caso19b.txt,Augmented,role-blind,identical,1796249
Simple,caso19b.txt,Matrix-only,selective,identical,1733719
Simple,caso19b.txt,Matrix-only,role-blind,identical,1733719
Simple,caso19c.txt,Augmented,selective,identical,1785448
Simple,caso19c.txt,Augmented,role-blind,identical,1796252
Simple,caso19c.txt,Matrix-only,selective,identical,1733722
Simple,caso19c.txt,Matrix-only,role-blind,identical,1733722
Simple,caso19d.txt,Augmented,selective,identical,1785526
Simple,caso19d.txt,Augmented,role-blind,identical,1796354
Simple,caso19d.txt,Matrix-only,selective,identical,1733800
Simple,caso19d.txt,Matrix-only,role-blind,identical,1733800
Simple,caso19e.txt,Augmented,selective,identical,1785523
Simple,caso19e.txt,Augmented,role-blind,identical,1796351
Simple,caso19e.txt,Matrix-only,selective,identical,1733797
Simple,caso19e.txt,Matrix-only,role-blind,identical,1733797
Simple,caso19f.txt,Augmented,selective,identical,1785526
Simple,caso19f.txt,Augmented,role-blind,identical,1796354
Simple,caso19f.txt,Matrix-only,selective,identical,1733800
Simple,caso19f.txt,Matrix-only,role-blind,identical,1733800
Simple,caso20a.txt,Augmented,selective,identical,1785199
Simple,caso20a.txt,Augmented,role-blind,identical,1796053
Simple,caso20a.txt,Matrix-only,selective,identical,1733817
Simple,caso20a.txt,Matrix-only,role-blind,identical,1733817
Simple,caso20b.txt,Augmented,selective,identical,1785199
Simple,caso20b.txt,Augmented,role-blind,identical,1796053
Simple,caso20b.txt,Matrix-only,selective,identical,1733817
Simple,caso20b.txt,Matrix-only,role-blind,identical,1733817
Simple,caso20c.txt,Augmented,selective,identical,1785196
Simple,caso20c.txt,Augmented,role-blind,identical,1796050
Simple,caso20c.txt,Matrix-only,selective,identical,1733814
Simple,caso20c.txt,Matrix-only,role-blind,identical,1733814
Simple,caso20d.txt,Augmented,selective,identical,1785255
Simple,caso20d.txt,Augmented,role-blind,identical,1795999
Simple,caso20d.txt,Matrix-only,selective,identical,1733873
Simple,caso20d.txt,Matrix-only,role-blind,identical,1733873
Simple,caso20e.txt,Augmented,selective,identical,1785255
Simple,caso20e.txt,Augmented,role-blind,identical,1795999
Simple,caso20e.txt,Matrix-only,selective,identical,1733873
Simple,caso20e.txt,Matrix-only,role-blind,identical,1733873
Simple,caso20f.txt,Augmented,selective,identical,1785252
Simple,caso20f.txt,Augmented,role-blind,identical,1795996
Simple,caso20f.txt,Matrix-only,selective,identical,1733870
Simple,caso20f.txt,Matrix-only,role-blind,identical,1733870
Simple,caso21a.txt,Augmented,selective,identical,1769596
Simple,caso21a.txt,Augmented,role-blind,identical,1780513
Simple,caso21a.txt,Matrix-only,selective,identical,1734262
Simple,caso21a.txt,Matrix-only,role-blind,identical,1734262
Simple,caso21b.txt,Augmented,selective,identical,1769599
Simple,caso21b.txt,Augmented,role-blind,identical,1780516
Simple,caso21b.txt,Matrix-only,selective,identical,1734265
Simple,caso21b.txt,Matrix-only,role-blind,identical,1734265
Simple,caso21c.txt,Augmented,selective,identical,1769599
Simple,caso21c.txt,Augmented,role-blind,identical,1780516
Simple,caso21c.txt,Matrix-only,selective,identical,1734265
Simple,caso21c.txt,Matrix-only,role-blind,identical,1734265
Simple,caso21d.txt,Augmented,selective,identical,1769666
Simple,caso21d.txt,Augmented,role-blind,identical,1780474
Simple,caso21d.txt,Matrix-only,selective,identical,1734332
Simple,caso21d.txt,Matrix-only,role-blind,identical,1734332
Simple,caso21e.txt,Augmented,selective,identical,1769669
Simple,caso21e.txt,Augmented,role-blind,identical,1780477
Simple,caso21e.txt,Matrix-only,selective,identical,1734335
Simple,caso21e.txt,Matrix-only,role-blind,identical,1734335
Simple,caso21f.txt,Augmented,selective,identical,1769666
Simple,caso21f.txt,Augmented,role-blind,identical,1780474
Simple,caso21f.txt,Matrix-only,selective,identical,1734332
Simple,caso21f.txt,Matrix-only,role-blind,identical,1734332
Simple,caso22a.txt,Augmented,selective,identical,1777006
Simple,caso22a.txt,Augmented,role-blind,identical,1787746
Simple,caso22a.txt,Matrix-only,selective,identical,1734263
Simple,caso22a.txt,Matrix-only,role-blind,identical,1734263
Simple,caso22b.txt,Augmented,selective,identical,1777005
Simple,caso22b.txt,Augmented,role-blind,identical,1787745
Simple,caso22b.txt,Matrix-only,selective,identical,1734262
Simple,caso22b.txt,Matrix-only,role-blind,identical,1734262
Simple,caso22c.txt,Augmented,selective,identical,1777009
Simple,caso22c.txt,Augmented,role-blind,identical,1787749
Simple,caso22c.txt,Matrix-only,selective,identical,1734266
Simple,caso22c.txt,Matrix-only,role-blind,identical,1734266
