class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat
Simple,caso11d.txt,Augmented,20,20,0.320191,0.042126,0.278065,0.218009,0.014459,0.3533,0.5907
Simple,caso11d.txt,Matrix-only,20,20,0.402972,0.070797,0.332175,0.190408,0.014242,0.2870,0.6489
Simple,caso11e.txt,Augmented,20,20,0.329447,0.048326,0.281121,0.201266,0.014597,0.2203,0.9222
Simple,caso11e.txt,Matrix-only,20,20,0.356825,0.036053,0.320772,0.204143,0.015079,0.3732,1.0385
Simple,caso11f.txt,Augmented,20,20,0.366461,0.040925,0.325537,0.202223,0.014956,0.2496,1.1099
Simple,caso11f.txt,Matrix-only,20,20,0.340953,0.065991,0.274962,0.192515,0.015409,0.2899,0.5772
Simple,caso12a.txt,Augmented,20,20,0.324026,0.054933,0.269093,0.226174,0.014627,0.2568,0.8567
Simple,caso12a.txt,Matrix-only,20,20,0.357994,0.052879,0.305115,0.201508,0.014770,0.2959,0.8097
Simple,caso12b.txt,Augmented,20,20,0.399017,0.036607,0.362410,0.199417,0.013302,0.2706,1.3038
Simple,caso12b.txt,Matrix-only,20,20,0.325194,0.063663,0.261530,0.204987,0.015179,0.3084,0.6161
Simple,caso12c.txt,Augmented,20,20,0.341590,0.080702,0.260888,0.206676,0.015063,0.2764,0.5073
Simple,caso12c.txt,Matrix-only,20,20,0.332857,0.066855,0.266002,0.199618,0.014770,0.2598,0.6573
Simple,caso12d.txt,Augmented,20,20,0.387079,0.116992,0.270087,0.212192,0.014925,0.2016,0.3814
Simple,caso12d.txt,Matrix-only,20,20,0.394104,0.071263,0.322841,0.107258,0.014669,0.2830,0.5585
Simple,caso12e.txt,Augmented,20,20,0.348231,0.045459,0.302772,0.230461,0.015010,0.2166,0.9882
Simple,caso12e.txt,Matrix-only,20,20,0.307032,0.037679,0.269353,0.218057,0.013829,0.3040,1.2296
Simple,caso12f.txt,Augmented,20,20,0.373139,0.056327,0.316812,0.216699,0.014516,0.2909,0.8222
Simple,caso12f.txt,Matrix-only,20,20,0.315782,0.084936,0.230846,0.111272,0.014928,0.2878,0.5534
Simple,caso14a.txt,Augmented,20,20,0.325338,0.062015,0.263323,0.193337,0.014992,0.2364,0.7524
Simple,caso14a.txt,Matrix-only,20,20,0.358828,0.105954,0.252874,0.214071,0.015047,0.3074,0.4614
Simple,caso14b.txt,Augmented,20,20,0.308052,0.072600,0.235453,0.221221,0.015111,0.2754,0.6669
Simple,caso14b.txt,Matrix-only,20,20,0.344767,0.086565,0.258202,0.205692,0.014925,0.3257,0.4959
Simple,caso14c.txt,Augmented,20,20,0.370158,0.090067,0.280091,0.221945,0.014322,0.2390,0.4833
Simple,caso14c.txt,Matrix-only,20,20,0.353281,0.056444,0.296837,0.188230,0.015445,0.2896,0.7872
Simple,caso14d.txt,Augmented,20,20,0.331225,0.052325,0.278901,0.256448,0.014871,0.2152,0.8227
Simple,caso14d.txt,Matrix-only,20,20,0.384014,0.027211,0.356803,0.222970,0.015099,0.2238,1.2236
Simple,caso14e.txt,Augmented,20,20,0.315275,0.048467,0.266808,0.204508,0.014592,0.3215,0.9151
Simple,caso14e.txt,Matrix-only,20,20,0.341189,0.046027,0.295163,0.199792,0.014546,0.3373,0.8391
Simple,caso14f.txt,Augmented,20,20,0.380770,0.079184,0.301587,0.209427,0.014956,0.2642,0.5449
Simple,caso14f.txt,Matrix-only,20,20,0.330234,0.075752,0.254482,0.242377,0.015647,0.2845,0.6000
Simple,caso19a.txt,Augmented,20,20,0.383255,0.057836,0.325419,0.215271,0.014444,0.4324,0.7616
Simple,caso19a.txt,Matrix-only,20,20,0.350767,0.091277,0.259490,0.250299,0.014883,0.2988,0.4258
Simple,caso19b.txt,Augmented,20,20,0.360049,0.057399,0.302651,0.218603,0.016306,0.3732,0.7069
Simple,caso19b.txt,Matrix-only,20,20,0.331328,0.054105,0.277223,0.211461,0.014494,0.3232,0.7713
Simple,caso19c.txt,Augmented,20,20,0.345512,0.062572,0.282941,0.232576,0.015231,0.2945,0.4983
Simple,caso19c.txt,Matrix-only,20,20,0.335347,0.063456,0.271891,0.206967,0.015307,0.2428,0.7141
Simple,caso19d.txt,Augmented,20,20,0.414559,0.059934,0.354626,0.198172,0.014938,0.3425,0.7238
Simple,caso19d.txt,Matrix-only,20,20,0.349449,0.086601,0.262847,0.207721,0.015413,0.2948,0.5496
