instance,variant,rows,cols,sigma_max,sigma_min,sigma_min_pos,kappa2,kappa2_pos,range_proxy,rank_deficient
coupling_heterogeneo_S0_seed1004,Flat,123,124,17.178759841019218,1.4796556443122027e-16,2.194956624759819e-05,1.1609971486983733e+17,782646.89366693,27309.515026312263,1
coupling_heterogeneo_S0_seed1004,Ruiz,123,124,25.052965400283327,1.3294415580362605e-18,2.5926444394611423e-05,1.884472863725538e+19,966309.3411100506,606378.2995666221,1
coupling_heterogeneo_S0_seed1004,SAAug,123,124,10.000506999618327,1.2792736137579831e-17,2.1949524617999293e-05,7.817332345533903e+17,455613.8309901072,242050.6355452299,1
coupling_heterogeneo_S0_seed1004,SAMat,123,124,10.000836165658129,2.0318379076643784e-16,0.0002311538954126246,4.922063973673081e+16,43264.83941707316,281044.3198058799,1
coupling_heterogeneo_S0_seed1005,Base,123,124,330.3322183791467,8.503636725098815e-17,0.001482190698853552,3.884599366811593e+18,222867.5558648781,25044.085715541732,1
coupling_heterogeneo_S0_seed1005,Flat,123,124,17.54220604887198,2.2325772151476267e-17,0.00020238237087061064,7.857379323703265e+17,86678.52824042297,22817.75603208439,1
coupling_heterogeneo_S0_seed1005,Ruiz,123,124,25.82621588401448,5.000289795909356e-19,0.00023833341157704498,5.164943820884627e+19,108361.70939325372,492833.4920330797,1
coupling_heterogeneo_S0_seed1005,SAAug,123,124,10.00050708544716,9.934149857593955e-18,0.00020234977610264618,1.0066797087626456e+18,49421.883621824185,190836.37663863605,1
coupling_heterogeneo_S0_seed1005,SAMat,123,124,10.000623519215129,2.495767718015969e-19,0.0021473195427820914,4.007032965057023e+19,4657.259117689679,189678.36850006142,1
coupling_heterogeneo_S0_seed1006,Base,123,124,362.422064591146,2.1822591859388018e-16,0.0007012511109089041,1.6607654440241618e+18,516822.08976668044,29150.031436804242,1
coupling_heterogeneo_S0_seed1006,Flat,123,124,14.108780984762333,4.344749076535898e-17,0.00025459610371784253,3.2473177935540006e+17,55416.32718935268,15246.922619968747,1
coupling_heterogeneo_S0_seed1006,Ruiz,123,124,25.123414699469865,4.648382807458662e-19,0.0002838791264574775,5.404764568692052e+19,88500.39456223678,348536.0194313364,1
coupling_heterogeneo_S0_seed1006,SAAug,123,124,10.00050851286378,1.2334877888173165e-17,0.00025457408136393266,8.107505079115857e+17,39283.2941173116,138736.49377870373,1
coupling_heterogeneo_S0_seed1006,SAMat,123,124,10.000657117039717,7.090286208390043e-17,0.0030120764728017134,1.4104729799490728e+17,3320.1869897205847,168822.16308939035,1
coupling_heterogeneo_S0_seed1007,Base,123,126,339.8573839931049,1.2575417330698196e-14,0.00016867017521628557,2.702553522128206e+16,2014922.8134571284,29023.314934800223,1
coupling_heterogeneo_S0_seed1007,Flat,123,126,13.251006575072527,4.720428917409657e-16,7.497350788579187e-05,2.807161553942865e+16,176742.5181073021,9590.107876862101,1
coupling_heterogeneo_S0_seed1007,Ruiz,123,126,25.06034186990527,4.165904786925876e-18,9.231822086469254e-05,6.015582004791308e+18,271456.07481577556,187140.23937715005,1
coupling_heterogeneo_S0_seed1007,SAAug,123,126,10.000506459871326,3.4960325426075525e-16,7.497258399515657e-05,2.8605301403780252e+16,133388.84598825334,74679.58651817273,1
coupling_heterogeneo_S0_seed1007,SAMat,123,126,10.000600560318476,2.0365186950425295e-15,0.0009283693931657188,4910635283959242.0,10772.22130968434,79252.25230257737,1
coupling_heterogeneo_S0_seed1008,Base,123,124,381.96025331180965,6.874576016621016e-15,0.0010669786207653938,5.556128150860863e+16,357983.0428446745,27968.62940221487,1
coupling_heterogeneo_S0_seed1008,Flat,123,124,15.58057996399024,1.2429003715371438e-16,0.000738098040189826,1.2535662809981402e+17,21109.092716169773,17362.59146036474,1
coupling_heterogeneo_S0_seed1008,Ruiz,123,124,24.28855817809751,4.411748149608228e-19,0.0007921260254363423,5.505427180890728e+19,30662.49232843747,319447.77529143414,1
coupling_heterogeneo_S0_seed1008,SAAug,123,124,10.00050720287525,3.097226368627704e-16,0.0007371030524206854,3.2288589895049228e+16,13567.31215538052,131528.4942707004,1
coupling_heterogeneo_S0_seed1008,SAMat,123,124,10.000691283069152,7.749803310731089e-16,0.006938521724921203,1.2904445289884036e+16,1441.328813189343,119982.20406947285,1
coupling_heterogeneo_S0_seed1009,Base,123,126,380.5529225751436,8.454879360289149e-15,0.0020976996588689097,4.500985837391405e+16,181414.39884694442,27879.816511115616,1
coupling_heterogeneo_S0_seed1009,Flat,123,126,18.91464826955238,1.6441262708951548e-16,0.0007246153838289434,1.1504376886608704e+17,26103.017810090372,15274.999659210689,1
coupling_heterogeneo_S0_seed1009,Ruiz,123,126,24.265135363780182,9.405892651179223e-19,0.0007735959792671628,2.5797801722453262e+19,31366.677198564103,352336.73699403723,1
coupling_heterogeneo_S0_seed1009,SAAug,123,126,10.000506656988557,1.8180497995702582e-16,0.0007237420368645136,5.500678066878272e+16,13817.777809775997,145210.13373169943,1
coupling_heterogeneo_S0_seed1009,SAMat,123,126,10.00056311174064,6.400999531631223e-16,0.007280183481794505,1.5623439842983566e+16,1373.6691028116209,155681.18284049325,1
coupling_heterogeneo_S3_seed1000,Base,123,125,4088.136510056702,2.10477197734672e-17,0.0009347332803686271,1.9423180059676656e+20,4373586.129772206,55274606.47184282,1
coupling_heterogeneo_S3_seed1000,Flat,123,125,1081.7711970355274,1.0705262581944004e-17,4.861268862190194e-05,1.010504122393124e+20,22252856.76851345,55274606.47185475,1
coupling_heterogeneo_S3_seed1000,Ruiz,123,125,23.81604267215232,1.4185306418240517e-19,6.366724897532141e-05,1.6789233852240154e+20,374070.5473450542,1023079830.2027395,1
coupling_heterogeneo_S3_seed1000,SAAug,123,125,10.000508803252735,3.602808152929134e-18,4.832800931962503e-05,2.775753906053027e+18,206929.87242890077,429597393.5576915,1
coupling_heterogeneo_S3_seed1000,SAMat,123,125,10.000652826159039,2.4587665469855533e-18,0.0002878159902641335,4.0673454087863014e+18,34746.68942813522,554314112.7447954,1
coupling_heterogeneo_S3_seed1001,Base,123,125,26816.303460702547,1.5789185636612365e-16,9.152651202113039e-05,1.698396869723301e+20,292989461.39793426,742583707.3024229,1
coupling_heterogeneo_S3_seed1001,Flat,123,125,1317.1588897124657,1.4554359828739965e-18,7.345696505160788e-05,9.049926655733219e+20,17931027.898948498,61951409.27311958,1
coupling_heterogeneo_S3_seed1001,Ruiz,123,125,24.48489265299869,4.7313559052208434e-20,5.3743494627263454e-05,5.1750265977625326e+20,455588.026473027,13537086018.695238,1
coupling_heterogeneo_S3_seed1001,SAAug,123,125,10.00050592914701,5.859866875641111e-19,4.4713945910469564e-05,1.7066097475214203e+19,223655.18688891732,6960632410.206606,1
coupling_heterogeneo_S3_seed1001,SAMat,123,125,10.000625858935322,3.5508959861594734e-19,0.000799549295400403,2.8163668825883165e+19,12507.828993742218,619926936.4031587,1
coupling_heterogeneo_S3_seed1002,Base,123,126,2383.589543215591,7.943178146920877e-05,7.943178146920877e-05,30008008.118760057,30008008.118760057,1361330.0143728019,0
coupling_heterogeneo_S3_seed1002,Flat,123,126,142.5738912659057,1.6539817205600745e-05,1.6539817205600745e-05,8620040.324123235,8620040.324123235,1361330.0143727968,0
